web,filename
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=14617,assoc1088.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=10712,assoc1089.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=10976,assoc1090.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=8665,assoc1091.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=9207,assoc1092.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=7684,assoc1093.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=7692,assoc1094.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=7697,assoc1095.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=11500,assoc1096.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=11694,assoc1097.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=14154,assoc1098.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=7703,assoc1099.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=7706,assoc1100.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=14383,assoc1101.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=7730,assoc1102.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=15160,assoc1103.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=14055,assoc1104.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=7740,assoc1105.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=15905,assoc1106.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=7741,assoc1107.csv
www.contactcanada.com/database/freesearch.php?portal=0a10&action=view_profile&id=7742,assoc1108.csv
